parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,structuretaxvaluedollarcnt,taxvaluedollarcnt,assessmentyear,landtaxvaluedollarcnt,taxamount,taxdelinquencyflag,taxdelinquencyyear,censustractandblock
10754147,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34144442,-118654084,85768.0,,,,,,010D,269,,060378002.0410,37688,3101,,96337,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
10759547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34140430,-118625364,4083.0,,,,,,0109,261,LCA11*,060378001.011002,37688,3101,,96337,0.0,,,,,,,,,,,27516.0,2015,27516.0,,,,
10843547,,,,0.0,0.0,,,,,,73026.0,,,73026,,,06037,,,,,,,33989359,-118394633,63085.0,,,,,,1200,47,LAC2,060377030.012017,51617,3101,,96095,0.0,,,,2,,,,,,650756.0,1413387.0,2015,762631.0,20800.37,,,
10859147,,,,0.0,0.0,3,7,,,,5068.0,,,5068,,,06037,,,,,,,34148863,-118437206,7521.0,,,,,,1200,47,LAC2,060371412.023001,12447,3101,27080,96424,0.0,,,,,,,1948.0,1,,571346.0,1156834.0,2015,585488.0,14557.57,,,
10879947,,,,0.0,0.0,4,,,,,1776.0,,,1776,,,06037,,,,,,,34194168,-118385816,8512.0,,,,,,1210,31,LAM1,060371232.052003,12447,3101,46795,96450,0.0,,,,1,,,1947.0,,,193796.0,433491.0,2015,239695.0,5725.17,,,
10898347,,,,0.0,0.0,4,7,,,,2400.0,,,2400,,,06037,,,,,,,34171873,-118380906,2500.0,,,,,,1210,31,LAC4,060371252.001000,12447,3101,46795,96446,0.0,,,,,,,1943.0,1,,176383.0,283315.0,2015,106932.0,3661.28,,,
10933547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34131929,-118351474,,,,,,,010V,260,LAC2,060371437.00101,12447,3101,274049,96049,0.0,,,,,,,,,,397945.0,554573.0,2015,156628.0,6773.34,,,
10940747,,,,0.0,0.0,,,,,,3611.0,,,3611,,,06037,,,,,,,34171345,-118314900,5333.0,,,,,,1210,31,BUC4YY,060373108.003004,396054,3101,,96434,0.0,,,,,,,1946.0,1,,101998.0,688486.0,2015,586488.0,7857.84,,,
10954547,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34218210,-118331311,145865.0,,,,,,010D,269,BUR1*,060373101.003001,396054,3101,,96436,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
10976347,,,,0.0,0.0,3,7,,,,3754.0,,,3754,,,06037,,,,,,,34289776,-118432085,7494.0,,,,,,1210,31,SFC2*,060373202.023005,47547,3101,,96366,0.0,,,,,,,1978.0,1,,218440.0,261201.0,2015,42761.0,4054.76,,,
11073947,,,,0.0,0.0,4,,,,,2470.0,,,2470,,,06037,,,,,,,34265214,-118520217,3423.0,,,,,,1200,47,LAC2,060371112.022021,12447,3101,31817,96370,0.0,,,,,,,1958.0,1,,245834.0,430208.0,2015,184374.0,6014.18,,,
11114347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34447747,-118565056,81293.0,,,,,,010D,269,SCUR3,060379201.081013,,3101,,96377,0.0,,,,,,,,,,,9.0,2015,9.0,,,,
11116947,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34465048,-118568166,6286.0,,,,,,010D,269,LCA25*,060379201.071002,,3101,,96377,0.0,,,,,,,,,,,171200.0,2015,171200.0,4690.68,,,
11142747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34416889,-118505805,,,,,,,300V,266,SCBP,060379203.1420,54311,3101,37739,96373,0.0,,,,,,,,,,,4265.0,2015,4265.0,,,,
11193347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34585014,-118162010,11975.0,,,,,,0100,261,PDA1*,060379104.01101,40227,3101,,97329,0.0,,,,,,,,,,,10.0,2015,10.0,,,,
11215747,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34563376,-118019104,9403.0,,,,,,0100,261,PDA21*,060379107.05102,40227,3101,,97330,0.0,,,,,,,,,,,10.0,2015,10.0,,,,
11229347,,,,0.0,0.0,,,,,,,,,,,,06037,,,,,,,34526913,-118050581,3817.0,,,,,,0100,261,LCA21*,060379107.091112,40227,3101,,97330,0.0,,,,,,,,,,,2077.0,2015,2077.0,174.21,,,
11287347,,,,0.0,0.0,4,7,,,,2760.0,,,2760,,,06037,,,,,,,34690736,-118135225,8856.0,,,,,,1210,31,LRC3*,060379008.061041,5534,3101,,97317,0.0,,,,,,,1949.0,,,32654.0,62424.0,2015,29770.0,2330.24,,,
11288547,,,,0.0,0.0,,7,,,,4000.0,4000,,,,,06037,,,,,,,34733960,-118139298,46526.0,,,,,,300V,260,LCM*,060379003.001052,5534,3101,,97318,0.0,,,,,,,1956.0,,,56736.0,102385.0,2015,45649.0,4162.56,,,
11324547,1,,,2.0,4.0,,4,2.0,,,3633.0,3633,,,,,06037,,2,,,,2,34560018,-118169806,9826.0,,,,,,0100,261,LCA22,060379102.061100,40227,3101,,97329,0.0,,,,1,,,2005.0,,,218982.0,291973.0,2015,72991.0,6941.39,,,
11391347,,,,0.0,0.0,3,7,,,,4053.0,,,4053,,,06037,,,,,,,33986910,-118329553,8050.0,,,,,,1210,31,LAC2,060372347.003007,12447,3101,115729,96024,0.0,,,,1,,,1957.0,,,197599.0,503752.0,2015,306153.0,6840.34,,,
11395747,,,,0.0,0.0,4,7,,,,1442.0,,,1442,,,06037,,,,,,,33960238,-118319986,2904.0,,,,,,1210,31,INC2*,060376008.012023,45888,3101,,96137,0.0,,,,1,,,,1,,35876.0,49928.0,2015,14052.0,1522.08,,,
